node_aa,grid_id,chi_hat,l_r_hat,l_f_hat,l_R,l_F,l_R_new,l_F_new,lr_pct,lf_pct,dist_center_km,delta_residents,delta_workers
104,sq_13_20,0.9998669097242988,0.9998818839787394,0.9999427138607404,10387.0,8799.0,10385.773128887167,8798.495939260654,-0.011811602126055032,-0.005728613925959358,61.49541627840442,-1.2268711128326686,-0.5040607393457321
105,sq_13_21,0.9998669097242988,0.9998815835494173,0.9999428609779584,4948.0,3118.0,4947.414075402517,3117.821840529274,-0.011841645058274786,-0.005713902204163013,60.034350856861295,-0.5859245974834266,-0.17815947072585914
106,sq_13_22,0.9998669097242988,0.9998829582372324,0.9999416506748948,1591.0,2669.0,1590.8137865554368,2668.8442656512943,-0.011704176276761125,-0.00583493251051781,58.627357549664815,-0.1862134445632364,-0.15573434870566416
107,sq_13_23,0.9998669097242988,1.0005828689152911,0.9994589715708028,7432.0,4183.0,7436.331881778444,4180.736878080668,0.05828689152911348,-0.054102842919723226,57.27841979708501,4.331881778443858,-2.263121919331752
108,sq_13_24,0.9998669097242988,0.9998824021456884,0.9999422930673276,5353.0,3769.0,5352.37049868587,3768.782502570758,-0.011759785431164627,-0.005770693267237448,55.99173234362677,-0.6295013141298114,-0.2174974292420302
109,sq_13_25,0.9998669097242988,0.9998818829815772,0.9999427148988704,10793.0,9453.0,10791.725163020163,9452.458483939023,-0.011811701842279199,-0.0057285101129567195,54.77168110878528,-1.274836979837346,-0.5415160609773011
110,sq_13_26,0.9998669097242988,0.9998818984720004,0.9999427095129082,25326.0,22593.0,25323.00896070188,22591.705636025134,-0.011810152799962559,-0.005729048709179896,53.6228133357833,-2.9910392981182667,-1.2943639748664282
111,sq_13_27,0.9998669097242988,0.9998818837031012,0.999942715159665,22205.0,15122.0,22202.377227627363,15121.133738644454,-0.011811629689884029,-0.005728484033495906,52.5497966199687,-2.622772372636973,-0.8662613555461576
112,sq_13_28,0.9998669097242988,0.9998818426128784,0.99994272765656,9999.0,8508.0,9997.81854428617,8507.512726902012,-0.011815738712162016,-0.0057272343439995765,51.55736570687482,-1.181455713829564,-0.4872730979877815
113,sq_13_29,0.9998669097242988,0.999881318812678,0.9999429259448414,5281.0,1383.0,5280.373244649752,1382.9210665817156,-0.01186811873219451,-0.005707405515864572,50.65025645573424,-0.6267553502475494,-0.07893341828435041
114,sq_13_30,0.9998669097242988,0.9998649088805128,0.999948183789304,29.0,37.0,28.99608235753487,36.998082800204244,-0.0135091119487174,-0.005181621069605402,49.83312711535913,-0.0039176424651294894,-0.0019171997957556641
115,sq_13_31,0.9998669097242988,0.9998815865177112,0.9999428101970138,1071.0,1142.0,1070.8731791604687,1141.9346892449898,-0.011841348228880388,-0.0057189802986190585,49.110468054477415,-0.1268208395313195,-0.06531075501015948
116,sq_13_32,0.9998669097242988,0.9998814905701964,0.9999428514608906,2172.0,1671.0,2171.7425975184665,1670.9045047911482,-0.0118509429803626,-0.005714853910943063,48.48650228308784,-0.25740248153351786,-0.09549520885184393
117,sq_13_33,0.9998669097242988,0.999881871667489,0.9999427192739004,22941.0,19053.0,22938.290017923864,19051.908630325626,-0.011812833251101384,-0.005728072609956225,47.96508039574984,-2.7099820761359297,-1.0913696743737091
118,sq_13_34,0.9998669097242988,0.9998825858822348,0.9999423226424918,15017.0,14928.0,15015.23679219352,14927.138992407117,-0.011741411776522437,-0.005767735750816794,47.5495748059546,-1.7632078064798407,-0.8610075928827428
119,sq_13_35,0.9998669097242988,1.0013855179749098,0.9991323941834442,4537.0,2489.0,4543.286095052166,2486.8405291225927,0.13855179749098223,-0.0867605816555761,47.242779123931115,6.286095052166274,-2.1594708774073297
120,sq_13_36,0.9998669097242988,0.9989850544626012,1.0010422406060249,3341.0,3331.0,3337.6090669595505,3334.471703458669,-0.10149455373987815,0.1042240606024869,47.04681904753216,-3.390933040449454,3.4717034586687987
121,sq_13_37,0.9998669097242988,0.9998802995307132,0.999944195839444,4159.0,2923.0,4158.502165748237,2922.836884438695,-0.011970046928677647,-0.0055804160555950055,46.963081010448775,-0.49783425176337914,-0.16311556130494864
122,sq_13_38,0.9998669097242988,0.9998669708073754,0.9999514140932692,7636.0,2774.0,7634.9841890851185,2773.865222694729,-0.013302919262458968,-0.004858590673084695,46.99216397250886,-1.0158109148815129,-0.13477730527120002
123,sq_13_39,0.9998669097242988,0.9985039636499282,1.0014381840025046,2763.0,2009.0,2758.8664515647515,2011.8893116610318,-0.14960363500717833,0.14381840025046166,47.133858175762,-4.1335484352484855,2.8893116610317975
