edge_i,edge_j,chi_hat_asym,mean_lr_hat_asym,std_lr_hat_asym,mean_lf_hat_asym,std_lf_hat_asym,chi_hat_sym,mean_lr_hat_sym,std_lr_hat_sym,mean_lf_hat_sym,std_lf_hat_sym,d_chi_hat,d_mean_lr_hat,d_mean_lf_hat
35.0,36.0,0.99999999,1.000000133012435,8.480701911597425e-06,0.9999999477238861,3.1187753492048434e-06,0.99999999,1.0000001375058583,8.769064129640788e-06,0.9999999459495024,3.2253822796079696e-06,0.0,-4.493423189089185e-09,1.7743837510408866e-09
35.0,87.0,0.99999999,1.0000001116181136,7.795363423794775e-06,0.9999999796121583,3.1702359640263408e-06,0.99999999,1.0000001184694018,8.267398458317975e-06,0.9999999778698783,3.3627293133746752e-06,0.0,-6.851288203435502e-09,1.7422799869493133e-09
36.0,35.0,0.9999999950613614,0.9999999598324073,2.2446808581553307e-06,1.0000000779961673,4.561011766958162e-06,0.9999999973012426,0.9999999611426084,2.1711635424953997e-06,1.000000075473417,4.413427555461816e-06,-2.2398811694301912e-09,-1.3102010587573432e-09,2.5227502309377314e-09
36.0,88.0,0.9999999985278428,0.9999999908102966,8.194574438639421e-07,1.000000017986472,1.1079787217107403e-06,1.0,0.9999999880297145,1.0289724907565573e-06,1.000000022246232,1.365574960606208e-06,-1.4721571739428896e-09,2.7805820979054374e-09,-4.259759878166847e-09
38.0,40.0,0.9999999981923392,1.0000000020038475,2.6595339110731266e-07,0.9999999995047252,1.4350614136621369e-07,0.9999999981472948,1.0000000020695305,2.747035070828185e-07,0.9999999994885583,1.4818899831522995e-07,4.50444126443017e-11,-6.568301458287351e-11,1.6166845639986605e-11
40.0,38.0,0.9999999973853012,0.99999999603163,2.446797629433965e-07,1.00000000083234,3.220351744513886e-07,0.999999997449063,0.999999996152064,2.372444698331951e-07,1.0000000008067562,3.1210195576939544e-07,-6.376177363875968e-11,-1.204339961091705e-10,2.5583757334857182e-11
40.0,92.0,0.9999999901051756,0.9999999445683122,2.6808790669321874e-06,1.0000000644537443,5.105156805288066e-06,0.99999999,0.9999999594771178,1.95995118335448e-06,1.0000000471757509,3.736996924035003e-06,1.0517564597023465e-10,-1.4908805634483713e-08,1.7277993480391274e-08
41.0,42.0,0.9999999963380524,1.0000000019527544,9.027265258319423e-07,1.0000000028833276,6.822490563377322e-07,0.9999999963134034,1.000000001965989,9.093218967019105e-07,1.0000000029037872,6.87241161145985e-07,2.46489495481228e-11,-1.3234524587346641e-11,-2.0459633987002235e-11
41.0,93.0,0.999999997348588,0.9999999809090153,1.8390927275397523e-06,1.000000050251917,3.269559207596032e-06,0.9999999973618848,0.9999999810490418,1.8255575325973169e-06,1.0000000498641117,3.2449548300137246e-06,-1.3296808099028112e-11,-1.4002643489163802e-10,3.878053433936657e-10
42.0,41.0,0.999999996072219,1.000000002411998,9.718489891751705e-07,1.0000000020170456,6.940889601862649e-07,0.9999999960955814,1.0000000023926503,9.648343337216325e-07,1.000000002001569,6.890887593064062e-07,-2.336242310718717e-11,1.9347634605537678e-11,1.5476731007879607e-11
42.0,43.0,1.0,0.9999999991440953,1.232576978101924e-06,1.0000000056491096,1.2327175074308888e-06,1.0,0.9999999991620244,1.19983518636874e-06,1.0000000054989902,1.2003989756901205e-06,0.0,-1.7929102646974115e-11,1.5011947240850532e-10
